First Dose,Second Dose,Total Doses,Male,Female,State,Vaccine
29374,38002,67376,16701,50675,Rajasthan,Covishield
16639,42510,59149,11966,47183,Tamil Nadu,Covishield
14444,20023,34467,26978,7489,Telengana,Covishield
43383,29689,73072,16121,56951,Tripura,Covishield
7719,20476,28195,17924,10271,Uttarakhand,Covishield
24039,13793,37832,5490,32342,Uttar Pradesh,Covishield
10423,46972,57395,47970,9425,West Bengal,Covishield
48495,35898,84393,82639,1754,Andaman and Nicobar Islands,Covishield
12795,48334,61129,5535,55594,Andhra Pradesh,Covishield
13900,45036,58936,38142,20794,Arunachal Pradesh,Covishield
30695,9319,40014,13500,26514,Assam,Covishield
1713,34327,36040,18243,17797,Bihar,Covishield
30851,7045,37896,22904,14992,Chandigarh,Covishield
47789,29712,77501,58349,19152,Chhattisgarh,Covishield
17105,44365,61470,14272,47198,Delhi,Covishield
28776,44319,73095,25794,47301,Goa,Covishield
35809,31615,67424,44630,22794,Gujarat,Covishield
8177,17619,25796,13401,12395,Haryana,Covishield
39678,22537,62215,12767,49448,Himachal Pradesh,Covishield
40566,8318,48884,16731,32153,Jammu and Kashmir,Covishield
43084,41996,85080,12723,72357,Jharkhand,Covishield
30348,45452,75800,74397,1403,Karnataka,Covishield
25971,41857,67828,39151,28677,Kerala,Covishield
19629,26540,46169,18032,28137,Ladakh,Covishield
26082,43164,69246,61109,8137,Madhya Pradesh,Covishield
16553,30269,46822,5755,41067,Maharashtra,Covishield
42711,16328,59039,23789,35250,Manipur,Covishield
6385,36356,42741,11650,31091,Meghalaya,Covishield
32148,45895,78043,71813,6230,Mizoram,Covishield
45351,30017,75368,45761,29607,Nagaland,Covishield
23773,30008,53781,15941,37840,Odisha,Covishield
20312,14733,35045,7776,27269,Puducherry,Covishield
11006,6151,17157,13980,3177,Punjab,Covishield
5377,15544,20921,18863,2058,Rajasthan,Covishield
48545,46070,94615,76268,18347,Tamil Nadu,Covishield
29590,11426,41016,7994,33022,Telengana,Covishield
47236,9585,56821,37576,19245,Tripura,Covishield
12230,30269,42499,27014,15485,Uttarakhand,Covishield
35717,24990,60707,47251,13456,Uttar Pradesh,Covishield
14038,7858,21896,18913,2983,West Bengal,Covishield
32273,49111,81384,11504,69880,Andaman and Nicobar Islands,Covishield
28768,11298,40066,26171,13895,Andhra Pradesh,Covishield
29181,34544,63725,44907,18818,Arunachal Pradesh,Covishield
13761,25700,39461,13399,26062,Assam,Covishield
34460,23281,57741,34310,23431,Bihar,Covishield
16215,35050,51265,21180,30085,Chandigarh,Covishield
47587,45916,93503,35435,58068,Chhattisgarh,Covishield
22112,32833,54945,18247,36698,Delhi,Covishield
4799,9927,14726,14235,491,Goa,Covishield
21610,32051,53661,34774,18887,Gujarat,Covishield
24830,33238,58068,42594,15474,Haryana,Covishield
20241,5462,25703,17365,8338,Himachal Pradesh,Covishield
49008,26420,75428,57519,17909,Jammu and Kashmir,Covishield
28740,14040,42780,41456,1324,Jharkhand,Covishield
11615,42728,54343,37790,16553,Karnataka,Covishield
14617,19566,34183,25464,8719,Kerala,Covishield
27089,47900,74989,11098,63891,Ladakh,Covishield
8610,25053,33663,26263,7400,Madhya Pradesh,Covishield
42170,8788,50958,26543,24415,Maharashtra,Covishield
26029,26436,52465,46453,6012,Manipur,Covishield
22555,9713,32268,7726,24542,Meghalaya,Covishield
33237,2590,35827,23809,12018,Mizoram,Covishield
8300,13999,22299,6657,15642,Nagaland,Covishield
7443,18057,25500,20015,5485,Odisha,Covishield
42226,28811,71037,40810,30227,Puducherry,Covishield
25079,46749,71828,24393,47435,Punjab,Covishield
35911,19772,55683,42659,13024,Rajasthan,Covishield
31628,8698,40326,24576,15750,Tamil Nadu,Covishield
33094,7989,41083,14013,27070,Telengana,Covishield
7075,15549,22624,18886,3738,Tripura,Covishield
38489,32734,71223,40332,30891,Uttarakhand,Covishield
45334,16989,62323,52837,9486,Uttar Pradesh,Covishield
24601,27593,52194,16905,35289,West Bengal,Covishield
38132,44125,82257,73355,8902,Andaman and Nicobar Islands,Covishield
25017,49814,74831,22334,52497,Andhra Pradesh,Covishield
6933,14231,21164,9287,11877,Arunachal Pradesh,Covishield
30790,18361,49151,26897,22254,Assam,Covishield
22547,49135,71682,42089,29593,Bihar,Covishield
11451,39705,51156,11324,39832,Chandigarh,Covishield
16808,24667,41475,26761,14714,Chhattisgarh,Covishield
35263,40142,75405,24672,50733,Delhi,Covishield
47733,42659,90392,83551,6841,Goa,Covishield
44683,5966,50649,41659,8990,Gujarat,Covishield
3692,5444,9136,5744,3392,Haryana,Covishield
24744,8557,33301,12502,20799,Himachal Pradesh,Covishield
32601,23103,55704,26207,29497,Jammu and Kashmir,Covishield
35080,45546,80626,29742,50884,Jharkhand,Covishield
6977,4670,11647,7693,3954,Karnataka,Covishield
43828,27862,71690,16665,55025,Kerala,Covishield
38295,39025,77320,23381,53939,Ladakh,Covishield
8172,28340,36512,23323,13189,Madhya Pradesh,Covishield
30159,30037,60196,15242,44954,Maharashtra,Covishield
49497,47606,97103,5535,91568,Manipur,Covishield
26142,14070,40212,34439,5773,Meghalaya,Covishield
9855,47298,57153,29778,27375,Mizoram,Covishield
9486,25522,35008,26796,8212,Odisha,Covishield
6235,27870,34105,28584,5521,Puducherry,Covishield
47622,27768,75390,32842,42548,Punjab,Covishield
30409,31252,61661,17235,44426,Rajasthan,Covishield
19076,6643,25719,9622,16097,Tamil Nadu,Covishield
14731,19811,34542,10996,23546,Telengana,Covishield
17994,48656,66650,64030,2620,Tripura,Covishield
20665,28556,49221,43888,5333,Uttarakhand,Covishield
35167,39431,74598,52885,21713,Uttar Pradesh,Covishield
22399,7773,30172,13881,16291,West Bengal,Covishield
34150,35857,70007,12614,57393,Andaman and Nicobar Islands,Covishield
10300,43224,53524,42399,11125,Andhra Pradesh,Covishield
3559,3955,7514,7300,214,Arunachal Pradesh,Covishield
46929,3554,50483,49974,509,Assam,Covishield
8506,25303,33809,9312,24497,Bihar,Covishield
23777,9414,33191,12249,20942,Chandigarh,Covishield
49506,29037,78543,64338,14205,Chhattisgarh,Covishield
7285,27964,35249,18192,17057,Delhi,Covishield
35622,47389,83011,46450,36561,Goa,Covishield
27687,19540,47227,23363,23864,Gujarat,Covishield
27946,39080,67026,5311,61715,Haryana,Covishield
37314,8263,45577,10723,34854,Himachal Pradesh,Covishield
40982,25998,66980,58897,8083,Jammu and Kashmir,Covishield
6714,40343,47057,36134,10923,Jharkhand,Covishield
40266,21645,61911,32735,29176,Karnataka,Covishield
17479,22576,40055,32136,7919,Kerala,Covishield
12413,3982,16395,13108,3287,Ladakh,Covishield
44399,21488,65887,18275,47612,Madhya Pradesh,Covishield
6217,44993,51210,28921,22289,Maharashtra,Covishield
28988,6286,35274,27143,8131,Manipur,Covishield
31423,5035,36458,27346,9112,Meghalaya,Covishield
6834,11006,17840,17654,186,Mizoram,Covishield
34560,4644,39204,5276,33928,Odisha,Covishield
37181,42780,79961,39350,40611,Puducherry,Covishield
4046,37833,41879,29069,12810,Punjab,Covishield
9052,17121,26173,22720,3453,Rajasthan,Covishield
49613,9134,58747,27551,31196,Tamil Nadu,Covishield
3765,18402,22167,8948,13219,Telengana,Covishield
33066,21959,55025,39294,15731,Tripura,Covishield
39944,45831,85775,16832,68943,Uttarakhand,Covishield
8445,22203,30648,23179,7469,Uttar Pradesh,Covishield
28212,40330,68542,20726,47816,West Bengal,Covishield
31916,10736,42652,22242,20410,Andaman and Nicobar Islands,Covishield
25826,36596,62422,7380,55042,Andhra Pradesh,Covishield
38888,42926,81814,44861,36953,Arunachal Pradesh,Covishield
37802,26076,63878,18314,45564,Assam,Covishield
47208,27267,74475,56001,18474,Bihar,Covishield
35515,25954,61469,13208,48261,Chandigarh,Covishield
47162,19978,67140,24875,42265,Chhattisgarh,Covishield
31896,39294,71190,67652,3538,Delhi,Covishield
35461,20245,55706,34872,20834,Goa,Covishield
27456,41940,69396,40423,28973,Gujarat,Covishield
7308,8684,15992,13321,2671,Haryana,Covishield
10820,4964,15784,12642,3142,Himachal Pradesh,Covishield
16851,17596,34447,10189,24258,Jammu and Kashmir,Covishield
1613,27897,29510,24861,4649,Jharkhand,Covishield
32038,6084,38122,14917,23205,Karnataka,Covishield
6452,5862,12314,7641,4673,Kerala,Covishield
5738,16237,21975,6611,15364,Ladakh,Covishield
1838,22560,24398,19493,4905,Madhya Pradesh,Covishield
39572,37466,77038,67363,9675,Maharashtra,Covishield
18800,9742,28542,6110,22432,Manipur,Covishield
36823,43029,79852,64842,15010,Meghalaya,Covishield
48081,20784,68865,43617,25248,Mizoram,Covishield
12602,27465,40067,27989,12078,Odisha,Covishield
43227,22266,65493,54127,11366,Puducherry,Covishield
9361,41762,51123,38659,12464,Punjab,Covishield
49224,43347,92571,89607,2964,Rajasthan,Covishield
22054,7507,29561,26563,2998,Tamil Nadu,Covishield
24425,26952,51377,10981,40396,Telengana,Covishield
46621,15101,61722,22513,39209,Tripura,Covishield
32913,1918,34831,20060,14771,Uttarakhand,Covishield
29259,18496,47755,39516,8239,Uttar Pradesh,Covishield
26854,27750,54604,13401,41203,West Bengal,Covishield
10483,19191,29674,17642,12032,Andaman and Nicobar Islands,Covishield
37876,17257,55133,52594,2539,Andhra Pradesh,Covishield
20189,26900,47089,33635,13454,Arunachal Pradesh,Covishield
47318,40926,88244,22354,65890,Assam,Covishield
45743,12815,58558,26053,32505,Bihar,Covishield
24596,39519,64115,50497,13618,Chandigarh,Covishield
23216,34859,58075,47446,10629,Chhattisgarh,Covishield
1972,11889,13861,11599,2262,Delhi,Covishield
5512,17199,22711,13540,9171,Goa,Covishield
40404,17595,57999,55346,2653,Gujarat,Covishield
6944,5124,12068,7085,4983,Haryana,Covishield
39716,32434,72150,17764,54386,Himachal Pradesh,Covishield
9356,38396,47752,15833,31919,Jammu and Kashmir,Covishield
19179,41464,60643,12064,48579,Jharkhand,Covishield
6010,34570,40580,18180,22400,Karnataka,Covishield
49574,40528,90102,12346,77756,Kerala,Covishield
36607,25771,62378,35631,26747,Ladakh,Covishield
48058,21671,69729,60014,9715,Madhya Pradesh,Covishield
1905,15528,17433,12386,5047,Maharashtra,Covishield
46926,46906,93832,77856,15976,Manipur,Covishield
24720,16964,41684,17334,24350,Meghalaya,Covishield
39151,25045,64196,57922,6274,Mizoram,Covishield
7232,34237,41469,27334,14135,Odisha,Covishield
40490,38431,78921,38565,40356,Puducherry,Covishield
9810,16528,26338,17154,9184,Punjab,Covishield
6694,8581,15275,6281,8994,Rajasthan,Covishield
20845,14124,34969,30319,4650,Tamil Nadu,Covishield
46757,29433,76190,5003,71187,Telengana,Covishield
13963,44553,58516,46795,11721,Tripura,Covishield
5552,32481,38033,27999,10034,Uttarakhand,Covishield
46520,10271,56791,45128,11663,Uttar Pradesh,Covishield
48622,38347,86969,77055,9914,West Bengal,Covishield
33683,25935,59618,5042,54576,Andaman and Nicobar Islands,Covishield
48233,17056,65289,33411,31878,Andhra Pradesh,Covishield
2598,3135,5733,5513,220,Arunachal Pradesh,Covishield
45979,13571,59550,48106,11444,Assam,Covishield
13855,31344,45199,44766,433,Bihar,Covishield
48134,30171,78305,28723,49582,Chandigarh,Covishield
6470,10756,17226,5026,12200,Chhattisgarh,Covishield
26371,9775,36146,17971,18175,Delhi,Covishield
19474,20052,39526,29888,9638,Goa,Covishield
26353,3649,30002,20609,9393,Gujarat,Covishield
34542,16802,51344,13514,37830,Haryana,Covishield
16988,41462,58450,53664,4786,Himachal Pradesh,Covishield
10501,4408,14909,11460,3449,Jammu and Kashmir,Covishield
45942,48282,94224,41699,52525,Jharkhand,Covishield
44283,2376,46659,21858,24801,Karnataka,Covishield
7687,3062,10749,6690,4059,Kerala,Covishield
38923,38762,77685,27368,50317,Ladakh,Covishield
23860,4509,28369,18172,10197,Madhya Pradesh,Covishield
38409,32373,70782,11495,59287,Maharashtra,Covishield
31151,34826,65977,5144,60833,Manipur,Covishield
13432,32889,46321,39243,7078,Meghalaya,Covishield
15881,18121,34002,15195,18807,Mizoram,Covishield
41455,28212,69667,47337,22330,Odisha,Covishield
42753,37125,79878,64463,15415,Puducherry,Covishield
28657,30864,59521,10337,49184,Punjab,Covishield
18612,13593,32205,22857,9348,Rajasthan,Covishield
7569,4311,11880,10860,1020,Tamil Nadu,Covishield
20548,14763,35311,11187,24124,Telengana,Covishield
18484,16760,35244,9493,25751,Tripura,Covishield
35375,40297,75672,28212,47460,Uttarakhand,Covishield
32036,27932,59968,40866,19102,Uttar Pradesh,Covishield
36326,5349,41675,30744,10931,West Bengal,Covishield
27674,31706,59380,26988,32392,Andaman and Nicobar Islands,Covishield
48927,13351,62278,7150,55128,Andhra Pradesh,Covishield
2437,18166,20603,17101,3502,Arunachal Pradesh,Covishield
26975,13288,40263,34618,5645,Assam,Covishield
32254,8803,41057,40480,577,Bihar,Covishield
18644,29798,48442,19045,29397,Chandigarh,Covishield
10253,7200,17453,8450,9003,Chhattisgarh,Covishield
26193,33533,59726,57663,2063,Delhi,Covishield
17225,35388,52613,10224,42389,Goa,Covishield
47535,9787,57322,43601,13721,Gujarat,Covishield
46237,37290,83527,81693,1834,Haryana,Covishield
29773,10902,40675,6229,34446,Himachal Pradesh,Covishield
16757,33156,49913,25477,24436,Jammu and Kashmir,Covishield
23828,15897,39725,36986,2739,Jharkhand,Covishield
23899,33015,56914,5210,51704,Karnataka,Covishield
25402,35849,61251,20331,40920,Kerala,Covishield
36059,17950,54009,36171,17838,Ladakh,Covishield
48597,19210,67807,7496,60311,Madhya Pradesh,Covishield
47567,40111,87678,78812,8866,Maharashtra,Covishield
5578,40084,45662,44368,1294,Manipur,Covishield
34111,41052,75163,52962,22201,Meghalaya,Covishield
12746,4563,17309,6316,10993,Mizoram,Covishield
41974,17361,59335,33049,26286,Odisha,Covishield
4672,49420,54092,7621,46471,Puducherry,Covishield
41404,7958,49362,19193,30169,Punjab,Covishield
3131,34097,37228,36622,606,Rajasthan,Covishield
33296,41177,74473,28763,45710,Tamil Nadu,Covishield
48606,34577,83183,50147,33036,Telengana,Covishield
17982,42255,60237,24330,35907,Tripura,Covishield
47119,18171,65290,36867,28423,Uttarakhand,Covishield
24559,6479,31038,6568,24470,Uttar Pradesh,Covishield
39120,12570,51690,16237,35453,West Bengal,Covishield
6834,7138,13972,5873,8099,Andaman and Nicobar Islands,Covishield
41651,3887,45538,17806,27732,Andhra Pradesh,Covishield
44664,35509,80173,75037,5136,Arunachal Pradesh,Covishield
3960,3114,7074,6181,893,Assam,Covishield
12963,49085,62048,12886,49162,Bihar,Covishield
45254,18549,63803,47349,16454,Chandigarh,Covishield
21031,2450,23481,21952,1529,Chhattisgarh,Covishield
10332,39327,49659,10886,38773,Delhi,Covishield
21888,8767,30655,17817,12838,Goa,Covishield
42019,5749,47768,30367,17401,Gujarat,Covishield
18492,44479,62971,60233,2738,Haryana,Covishield
16089,14815,30904,25907,4997,Himachal Pradesh,Covishield
49001,23065,72066,64425,7641,Jammu and Kashmir,Covishield
25007,22118,47125,21733,25392,Jharkhand,Covishield
24662,36261,60923,34872,26051,Karnataka,Covishield
2138,14897,17035,8827,8208,Kerala,Covishield
21067,28641,49708,35516,14192,Ladakh,Covishield
46311,44436,90747,64048,26699,Madhya Pradesh,Covishield
23542,23641,47183,34600,12583,Maharashtra,Covishield
4153,22726,26879,21469,5410,Manipur,Covishield
10784,44432,55216,6315,48901,Meghalaya,Covishield
17812,41106,58918,30091,28827,Mizoram,Covishield
48020,22630,70650,27849,42801,Odisha,Covishield
30688,20858,51546,13409,38137,Puducherry,Covishield
42056,9118,51174,9724,41450,Punjab,Covishield
39169,9789,48958,36738,12220,Rajasthan,Covishield
2629,14690,17319,16002,1317,Tamil Nadu,Covishield
24852,12860,37712,13715,23997,Telengana,Covishield
6257,5806,12063,12026,37,Tripura,Covishield
45409,21378,66787,45694,21093,Uttarakhand,Covishield
5479,28630,34109,19191,14918,Uttar Pradesh,Covishield
21685,49210,70895,60313,10582,West Bengal,Covishield
33480,43925,77405,12529,64876,Andaman and Nicobar Islands,Covishield
44206,12368,56574,35332,21242,Andhra Pradesh,Covishield
27182,39395,66577,56386,10191,Arunachal Pradesh,Covishield
25633,3016,28649,22489,6160,Assam,Covishield
45059,34178,79237,46702,32535,Bihar,Covishield
17656,37528,55184,19448,35736,Chandigarh,Covishield
14792,29976,44768,38279,6489,Chhattisgarh,Covishield
12999,7338,20337,15901,4436,Delhi,Covishield
27363,26078,53441,22586,30855,Goa,Covishield
29102,33778,62880,51536,11344,Gujarat,Covishield
39821,27354,67175,46646,20529,Haryana,Covishield
44773,16200,60973,6951,54022,Himachal Pradesh,Covishield
34019,47305,81324,47110,34214,Jammu and Kashmir,Covishield
44648,30422,75070,38715,36355,Jharkhand,Covishield
38734,41322,80056,23524,56532,Karnataka,Covishield
11360,21773,33133,11584,21549,Kerala,Covishield
45198,44688,89886,71268,18618,Ladakh,Covishield
6849,10229,17078,8592,8486,Madhya Pradesh,Covishield
30984,20755,51739,38330,13409,Maharashtra,Covishield
20696,4403,25099,5194,19905,Manipur,Covishield
15078,29657,44735,28566,16169,Meghalaya,Covishield
36903,11235,48138,18214,29924,Mizoram,Covishield
33900,14634,48534,38099,10435,Odisha,Covishield
5305,8385,13690,11888,1802,Puducherry,Covishield
1577,38977,40554,16152,24402,Punjab,Covishield
49147,5754,54901,52499,2402,Rajasthan,Covishield
23272,10280,33552,8977,24575,Tamil Nadu,Covishield
36261,41225,77486,17184,60302,Telengana,Covishield
31273,21576,52849,51464,1385,Tripura,Covishield
26289,34450,60739,25488,35251,Uttarakhand,Covishield
37799,2429,40228,38454,1774,Uttar Pradesh,Covishield
18843,2309,21152,13554,7598,West Bengal,Covishield
13220,26008,39228,29641,9587,Andaman and Nicobar Islands,Covishield
31585,14125,45710,5572,40138,Andhra Pradesh,Covishield
2572,21152,23724,11548,12176,Arunachal Pradesh,Covishield
22445,40233,62678,52666,10012,Assam,Covishield
15592,2460,18052,11600,6452,Bihar,Covishield
13906,8150,22056,12114,9942,Chandigarh,Covishield
35064,27072,62136,9104,53032,Chhattisgarh,Covishield
26387,32996,59383,20075,39308,Delhi,Covishield
26538,40462,67000,44721,22279,Goa,Covishield
2502,45224,47726,45341,2385,Gujarat,Covishield
34519,33094,67613,36142,31471,Haryana,Covishield
16984,18169,35153,27222,7931,Himachal Pradesh,Covishield
8934,21141,30075,14509,15566,Jammu and Kashmir,Covishield
21754,12316,34070,11708,22362,Jharkhand,Covishield
5979,17732,23711,11838,11873,Karnataka,Covishield
47593,19367,66960,27060,39900,Kerala,Covishield
10856,23413,34269,8018,26251,Ladakh,Covishield
29945,41450,71395,22280,49115,Madhya Pradesh,Covishield
43803,44396,88199,22872,65327,Maharashtra,Covishield
41074,9556,50630,41327,9303,Manipur,Covishield
23930,24994,48924,27523,21401,Meghalaya,Covishield
16979,35736,52715,11069,41646,Mizoram,Covishield
47843,46634,94477,39563,54914,Odisha,Covishield
49764,43498,93262,15228,78034,Puducherry,Covishield
48926,29414,78340,39874,38466,Punjab,Covishield
41844,48373,90217,32648,57569,Rajasthan,Covishield
17149,39223,56372,41897,14475,Tamil Nadu,Covishield
42292,3594,45886,34756,11130,Telengana,Covishield
10262,2562,12824,6686,6138,Tripura,Covishield
31830,10715,42545,23540,19005,Uttarakhand,Covishield
13855,8705,22560,5969,16591,Uttar Pradesh,Covishield
9080,35674,44754,37457,7297,West Bengal,Covishield
43347,8754,52101,20315,31786,Andaman and Nicobar Islands,Covishield
14547,44414,58961,6893,52068,Andhra Pradesh,Covishield
20040,4110,24150,22855,1295,Arunachal Pradesh,Covishield
35787,23763,59550,12476,47074,Assam,Covishield
34878,44612,79490,71189,8301,Bihar,Covishield
8031,7865,15896,14486,1410,Chandigarh,Covishield
10663,21167,31830,20978,10852,Chhattisgarh,Covishield
30651,15350,46001,24489,21512,Delhi,Covishield
39034,41889,80923,16665,64258,Goa,Covishield
29133,4271,33404,21540,11864,Gujarat,Covishield
9581,29924,39505,36528,2977,Haryana,Covishield
10468,27689,38157,27477,10680,Himachal Pradesh,Covishield
47945,48369,96314,71802,24512,Jammu and Kashmir,Covishield
23948,49981,73929,54366,19563,Jharkhand,Covishield
31622,37919,69541,17288,52253,Karnataka,Covishield
48152,41728,89880,15206,74674,Kerala,Covishield
36836,4943,41779,33643,8136,Ladakh,Covishield
36678,21057,57735,14792,42943,Madhya Pradesh,Covishield
48719,27890,76609,51736,24873,Maharashtra,Covishield
4435,14877,19312,13102,6210,Manipur,Covishield
6405,27391,33796,15147,18649,Meghalaya,Covishield
46416,9762,56178,33602,22576,Mizoram,Covishield
27391,42022,69413,31388,38025,Odisha,Covishield
30170,2873,33043,11618,21425,Puducherry,Covishield
1786,30886,32672,5786,26886,Punjab,Covishield
47704,10044,57748,10241,47507,Rajasthan,Covishield
7209,30324,37533,19568,17965,Tamil Nadu,Covishield
38345,30703,69048,5149,63899,Telengana,Covishield
5950,2290,8240,6076,2164,Tripura,Covishield
39253,45238,84491,57249,27242,Uttarakhand,Covishield
38841,32467,71308,43273,28035,Uttar Pradesh,Covishield
39252,30354,69606,49030,20576,West Bengal,Covishield
22630,25748,48378,38149,10229,Andaman and Nicobar Islands,Covishield
40235,14283,54518,35793,18725,Andhra Pradesh,Covishield
33434,17661,51095,10183,40912,Arunachal Pradesh,Covishield
32449,4699,37148,33040,4108,Assam,Covishield
32143,18781,50924,29604,21320,Bihar,Covishield
22574,10351,32925,17906,15019,Chandigarh,Covishield
43201,4260,47461,37509,9952,Chhattisgarh,Covishield
3285,4693,7978,6377,1601,Delhi,Covishield
17964,39198,57162,30650,26512,Goa,Covishield
5806,31247,37053,26608,10445,Gujarat,Covishield
31917,7131,39048,12233,26815,Haryana,Covishield
31384,35021,66405,25862,40543,Himachal Pradesh,Covishield
25307,17601,42908,14446,28462,Jammu and Kashmir,Covishield
41643,15957,57600,23223,34377,Jharkhand,Covishield
23240,33571,56811,12911,43900,Karnataka,Covishield
41702,35647,77349,75106,2243,Kerala,Covishield
15356,1808,17164,11675,5489,Ladakh,Covishield
29222,23818,53040,5725,47315,Madhya Pradesh,Covishield
15500,39162,54662,14996,39666,Maharashtra,Covishield
40363,18055,58418,11938,46480,Manipur,Covishield
22032,11541,33573,17429,16144,Meghalaya,Covishield
40570,18469,59039,54360,4679,Mizoram,Covishield
20018,31087,51105,6665,44440,Odisha,Covishield
9511,20038,29549,18328,11221,Puducherry,Covishield
40140,41294,81434,71965,9469,Punjab,Covishield
8477,21288,29765,11404,18361,Rajasthan,Covishield
33750,49380,83130,79897,3233,Tamil Nadu,Covishield
17109,31189,48298,31425,16873,Telengana,Covishield
38250,15446,53696,41893,11803,Tripura,Covishield
6212,45613,51825,51768,57,Uttarakhand,Covishield
24541,8956,33497,20188,13309,Uttar Pradesh,Covishield
15926,21906,37832,23107,14725,West Bengal,Covishield
40523,44725,85248,28277,56971,Andaman and Nicobar Islands,Covishield
38686,48126,86812,46249,40563,Andhra Pradesh,Covishield
20378,17069,37447,15476,21971,Arunachal Pradesh,Covishield
6189,4091,10280,7865,2415,Assam,Covishield
10327,30001,40328,19667,20661,Bihar,Covishield
48640,31082,79722,10524,69198,Chandigarh,Covishield
35106,28552,63658,35519,28139,Chhattisgarh,Covishield
7689,7463,15152,10374,4778,Delhi,Covishield
2314,49033,51347,6686,44661,Goa,Covishield
29633,37799,67432,54506,12926,Gujarat,Covishield
39142,25534,64676,40220,24456,Haryana,Covishield
43006,33977,76983,15833,61150,Himachal Pradesh,Covishield
28719,44674,73393,20990,52403,Jammu and Kashmir,Covishield
14553,28571,43124,14220,28904,Jharkhand,Covishield
30128,38552,68680,38980,29700,Karnataka,Covishield
20235,29894,50129,27290,22839,Kerala,Covishield
21695,34070,55765,36826,18939,Ladakh,Covishield
16995,34965,51960,29919,22041,Madhya Pradesh,Covishield
34822,11849,46671,10821,35850,Maharashtra,Covishield
7746,33066,40812,13687,27125,Manipur,Covishield
12121,37517,49638,32223,17415,Meghalaya,Covishield
17496,9674,27170,8328,18842,Mizoram,Covishield
24127,1771,25898,8049,17849,Odisha,Covishield
4952,36623,41575,16761,24814,Puducherry,Covishield
3254,23617,26871,9878,16993,Punjab,Covishield
2261,43403,45664,6489,39175,Rajasthan,Covishield
49820,12414,62234,61186,1048,Tamil Nadu,Covishield
38698,20764,59462,9185,50277,Telengana,Covishield
19453,19743,39196,36735,2461,Tripura,Covishield
30960,23334,54294,41391,12903,Uttarakhand,Covishield
31983,9052,41035,27643,13392,Uttar Pradesh,Covishield
6208,35124,41332,27185,14147,West Bengal,Covishield
9337,8292,17629,10572,7057,Andaman and Nicobar Islands,Covishield
47925,13746,61671,8230,53441,Andhra Pradesh,Covishield
10447,42716,53163,10801,42362,Arunachal Pradesh,Covishield
16925,22881,39806,5480,34326,Assam,Covishield
37036,39138,76174,12097,64077,Bihar,Covishield
38748,39148,77896,42489,35407,Chandigarh,Covishield
45531,11155,56686,19175,37511,Chhattisgarh,Covishield
40517,13885,54402,6794,47608,Delhi,Covishield
29414,48780,78194,61328,16866,Goa,Covishield
36294,3711,40005,20499,19506,Gujarat,Covishield
23783,46105,69888,43218,26670,Haryana,Covishield
41265,31894,73159,15466,57693,Himachal Pradesh,Covishield
35752,14353,50105,5681,44424,Jammu and Kashmir,Covishield
16787,31637,48424,28636,19788,Jharkhand,Covishield
4589,45124,49713,23597,26116,Karnataka,Covishield
49896,12091,61987,9284,52703,Kerala,Covishield
23078,44697,67775,24204,43571,Ladakh,Covishield
40348,6521,46869,30272,16597,Madhya Pradesh,Covishield
40337,24739,65076,16117,48959,Maharashtra,Covishield
45736,11544,57280,47935,9345,Manipur,Covishield
28244,28499,56743,23033,33710,Meghalaya,Covishield
29493,48714,78207,24195,54012,Mizoram,Covishield
13860,36245,50105,13312,36793,Odisha,Covishield
21294,27447,48741,27330,21411,Puducherry,Covishield
4746,15988,20734,10578,10156,Punjab,Covishield
34112,36362,70474,63012,7462,Rajasthan,Covishield
30769,17299,48068,40111,7957,Tamil Nadu,Covishield
41182,43050,84232,20580,63652,Telengana,Covishield
33555,4955,38510,31588,6922,Tripura,Covishield
34360,33191,67551,6078,61473,Uttarakhand,Covishield
42738,39334,82072,41495,40577,Uttar Pradesh,Covishield
27251,7828,35079,34100,979,West Bengal,Covishield
49732,21216,70948,34090,36858,Andaman and Nicobar Islands,Covishield
21661,5001,26662,8819,17843,Andhra Pradesh,Covishield
32942,18559,51501,8662,42839,Arunachal Pradesh,Covishield
14747,5876,20623,6778,13845,Assam,Covishield
15732,25472,41204,34944,6260,Bihar,Covishield
27143,36000,63143,38774,24369,Chandigarh,Covishield
47995,22599,70594,31755,38839,Chhattisgarh,Covishield
23338,2318,25656,11150,14506,Delhi,Covishield
19396,21415,40811,36415,4396,Goa,Covishield
20369,2579,22948,18215,4733,Gujarat,Covishield
17631,3317,20948,17423,3525,Haryana,Covishield
13350,46553,59903,7622,52281,Himachal Pradesh,Covishield
47408,39997,87405,69552,17853,Jammu and Kashmir,Covishield
29315,4100,33415,28685,4730,Jharkhand,Covishield
15352,30284,45636,38447,7189,Karnataka,Covishield
9151,35411,44562,12788,31774,Kerala,Covishield
30094,49899,79993,75184,4809,Ladakh,Covishield
19961,8987,28948,7790,21158,Madhya Pradesh,Covishield
34059,2169,36228,8626,27602,Maharashtra,Covishield
45923,47511,93434,5497,87937,Manipur,Covishield
32329,12301,44630,31749,12881,Meghalaya,Covishield
1948,49558,51506,39396,12110,Mizoram,Covishield
19604,21953,41557,22747,18810,Odisha,Covishield
31943,5494,37437,17996,19441,Puducherry,Covishield
4084,28859,32943,5701,27242,Punjab,Covishield
49376,6130,55506,11485,44021,Rajasthan,Covishield
18400,19657,38057,25650,12407,Tamil Nadu,Covishield
